id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,asset_name,asset_type,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Transfer20240126001,Cash to bank transfer,2024-01-26,100000.0,,,,,,,,,,,,,,,,,,,,"On January 26, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Expense20240126001,Administrative Expenses,2024-01-26,39006.77,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 26, 2024, an invoice was issued for a Administrative Expenses, totaling $39006.77. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Transfer20240126001,Cash to bank transfer,2024-01-26,100000.0,,,,,,,,,,,,,,,,,,,,"On January 26, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Expense20240126001,Administrative Expenses,2024-01-26,30200.35,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 26, 2024, an invoice was issued for a Administrative Expenses, totaling $30200.35. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Transfer20240126001,Bank to cash transfer,2024-01-26,100000.0,,,,,,,,,,,,,,,,,,,,"On January 26, 2024, an invoice was issued for a Bank to cash transfer, totaling $100000.00.",
Expense20240126001,Administrative Expenses,2024-01-26,34012.21,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 26, 2024, an invoice was issued for a Administrative Expenses, totaling $34012.21. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240126026,Interest Receivables,2024-01-26,8.43,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 26, 2024, an invoice was issued for a Interest Receivables, totaling $8.43. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240127049,Sale,2024-01-27,173035.77,,,Paid,,50000.0,,,P003,Chemical Product C,3.0,57678.59,Cash,,,C005,8651.79,164383.98,150000.0,23035.77,"On January 27, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $57678.59, totaling $173035.77. The cost amount for this transaction was $150000.00, with a tax amount of $8651.79, leading to a total amount due of $164383.98. The receive_method of this transaction was cash, and this transaction was paid.",
Sale20240127050,Sale,2024-01-27,40224.21,,,Paid,,10000.0,,,P001,Chemical Product A,3.0,13408.07,Cash,,,C011,2011.21,38213.0,30000.0,10224.21,"On January 27, 2024, an invoice was issued for a Sale, consisting of 3.0 units at a unit price of $13408.07, totaling $40224.21. The cost amount for this transaction was $30000.00, with a tax amount of $2011.21, leading to a total amount due of $38213.00. The receive_method of this transaction was cash, and this transaction was paid.",
Transfer20240127001,Cash to bank transfer,2024-01-27,100000.0,,,,,,,,,,,,,,,,,,,,"On January 27, 2024, an invoice was issued for a Cash to bank transfer, totaling $100000.00.",
Expense20240127001,Sales Expenses,2024-01-27,8766.09,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 27, 2024, an invoice was issued for a Sales Expenses, totaling $8766.09. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240127001,Administrative Expenses,2024-01-27,41601.35,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 27, 2024, an invoice was issued for a Administrative Expenses, totaling $41601.35. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240127027,Interest Receivables,2024-01-27,17.33,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 27, 2024, an invoice was issued for a Interest Receivables, totaling $17.33. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240128052,Sale,2024-01-28,105539.92,,,Paid,,20000.0,,,P002,Chemical Product B,4.0,26384.98,Cash,,,C005,5277.0,100262.92,80000.0,25539.92,"On January 28, 2024, an invoice was issued for a Sale, consisting of 4.0 units at a unit price of $26384.98, totaling $105539.92. The cost amount for this transaction was $80000.00, with a tax amount of $5277.00, leading to a total amount due of $100262.92. The receive_method of this transaction was cash, and this transaction was paid.",
Expense20240128001,Administrative Expenses,2024-01-28,42556.4,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 28, 2024, an invoice was issued for a Administrative Expenses, totaling $42556.40. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240128001,Administrative Expenses,2024-01-28,14686.36,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 28, 2024, an invoice was issued for a Administrative Expenses, totaling $14686.36. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240128001,Administrative Expenses,2024-01-28,37906.69,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 28, 2024, an invoice was issued for a Administrative Expenses, totaling $37906.69. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240128028,Interest Receivables,2024-01-28,17.33,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 28, 2024, an invoice was issued for a Interest Receivables, totaling $17.33. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240129053,Sale,2024-01-29,578373.95,,,Unpaid,,100000.0,,,P004,Chemical Product D,5.0,115674.79,Account Receviable,,,C009,28918.7,549455.25,500000.0,78373.95,"On January 29, 2024, an invoice was issued for a Sale, consisting of 5.0 units at a unit price of $115674.79, totaling $578373.95. The cost amount for this transaction was $500000.00, with a tax amount of $28918.70, leading to a total amount due of $549455.25. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240129001,Administrative Expenses,2024-01-29,20762.49,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 29, 2024, an invoice was issued for a Administrative Expenses, totaling $20762.49. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240129001,Financial Expenses,2024-01-29,27338.59,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 29, 2024, an invoice was issued for a Financial Expenses, totaling $27338.59. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Interest20240129029,Interest Receivables,2024-01-29,17.33,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 29, 2024, an invoice was issued for a Interest Receivables, totaling $17.33. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
